Label,Tweets
1.0,When would the us declare what they have done 😂 what israhell has done what Russian and France etc r doing!!!???🤔☝️👎 https://t.co/u9QxF0XAl7
0.0,Targeted #ISIS accounts https://t.co/BFfpzLCbyn https://t.co/bOtvUfE1Br https://t.co/t5twboJQLY #targets #iceisis #opiceisis
0.0,Targeted #ISIS accounts https://t.co/bHPozAEmGv https://t.co/YceuIHOW8e https://t.co/haATLEh7Zj #targets #iceisis #opiceisis
0.0,Targeted #ISIS accounts https://t.co/iExFTvdvet https://t.co/VSYji5z80i https://t.co/iJT6Q697eX 🏃 #targets #iceisis #opiceisis
0.0,#Marawi’s ‘Ground Zero’ residents can return home by September 2019 https://t.co/75zb6dkTEy via @mindanewsdotcom -- this is very encouraging news from @bangonmarawiph -- this would help hamper recruitment by #ISIS adherents in the #Philippines https://t.co/H2nBn4KyTw
1.0,"Shiite pigs are massacring Muslims at Mosques in Diyala, Iraq.   https://t.co/goVPjBt0Dk"
1.0,"Islamic state shot down a reconnaissance aircraft in the Western Anbar province, Al-Baghdadi #iraq"
0.0,#TormentaDeCizire ✨ | Con la toma de #Baghouz  lel norte y el este de #Siria habrán sido completamente liberados del #ISIS. https://t.co/N0mQe8DHpa
0.0,@eldorar1 #pt: What's unclear is if this is a one-off or part of a sustainable campaign.  Remember  #HTS's anti-#Assad credentials *far* outweigh those of #ISIS  not to mention its more effective/durable tribal outreach efforts pre-'14.  With the east in transition  #HTS sees opportunity.
0.0,The Pioneering #Women Of The Struggle Have A Pure Heart And Smiling Face. .  Support these amazing and fearless Kurdish female fighters of #YPJ .  #ISIS #BlackFlagDown #Rojava #Kurdistan #YPG #Twitterkurds https://t.co/m2bKnxF7NH
1.0,"RT @Alhamdhulillaah: 'Do not the let hatred of a people prevent you from being just' 🙌 

#ThisIsIslam

https://t.co/TDwxuwcya4"
0.0,The #US is offering a reward of up to $1 million for #information about the son of the late #AlQaeda leader #OsamaBinLaden  #Hamza.  Photo: IANS https://t.co/qDwY00kkhP
1.0,RT @AFP: Turkey car bomb attack kills three in Diyarbakir https://t.co/lZ9X3QCIVc https://t.co/PFjUgzpYX0
1.0,PT: This cellphone metadata tracking method was also used to uncover CIA operatives who kidnapped an Imam in Italy: https://t.co/ijAJLaDWlk
1.0,RT @abyasun: Its weird that pro-Assad accounts share videos on aftermath of Ankara explosion. #Turkey https://t.co/p4tnRiPsAX
1.0,🔴#SYRIA!! IS have captured the Alawi pilot Brigadier Ali Bahgat khadur after shooting down his aircraft in the field of al'Shaar HOMS
1.0,"Breaking | U.S. aircraft bomb 4 petrol stations in Mosul.

#AmaqAgency
#MosulisBurning"
0.0,finAL warnign to isis ! #isis #war #letsplay #islam #simongamer987 #michelingang https://t.co/eCRlqScVpH
1.0,@khanasor_sinjar @IslamZebari 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
0.0,What a crazy situation. Despite air support and bullets flying everywhere  #ISIS fighters are still giving a fight..?? They said ISIS in Baghuz would've been finished weeks ago.. Looks like a false alarm. https://t.co/GUIaxhjL6H
1.0,"RT @Nidalgazaui: BREAKING NEWS

Syrian Jets Destroyed 3 Mosques in #Aleppo Moments ago due very heavy bombardments on the city."
0.0,None of you Are Gods... Focus on being human first .... Cos most of you are not even managing to meet those standards . .#NOAH and #ISIS.  The only God and Goddess 💯 https://t.co/YKzWTFVJ0B
1.0,@Nidalgazaui while ISIS fighting rebels in northern Aleppo are regularly targeted by US airstrikes in coordination with FSA rebels.
0.0,There need to be a plan for #EastSyria after liberation from #ISIS. A strategic plan which main outlines should be known and supported by the US public  and maybe undisclosed military components for @POTUS Adm to use to counter terrorism and geopolitical threats. Faster please
1.0,"RT @metesohtaoglu: Where is the West's compassion &amp; condemnation following terror attacks in #Turkey?
📸 https://t.co/6YT8Jtk3sz"
0.0,#Islam   #Syria #ISIS  #IS Peter Townsend's books. Soon on Audible and Itunes. Sign-up for updates here: https://t.co/VVYRRf1njC
0.0,#Islam    #Syria #ISIS  #IS 'Questioning Islam' by Peter Townsend. Available via https://t.co/xRLq0FREkq
0.0,@AudreyTruschke So u do it for everyone sure . Please reel me in when you are giving a speech on radical islam in #isis occupied territories . #islamicterrorism #jihad
0.0,Targeted #ISIS accounts https://t.co/nDXGEBXBXL https://t.co/wIOyKk1btB https://t.co/KxLywNpNpS #targets #iceisis #opiceisis
0.0,@PennyKKing1 This is relieving! At least there would be someone can defend the people if #ISIS raise again. #QSD #Kurdish
1.0,#BreakingNews #Russia|n jets strike a funeral in #DeirEzzor while people are burying victims of yesterday's Russian strikes.. #Syria
0.0,#Update: The US led coalition Syrian Democratic Forces (SDF) also said we will and liberate #Baghouz tonight but fighting #ISIS will be brutal as fighting and heavy clashes continue in the area. https://t.co/giVKcJlGqm
0.0,Where is her tweet while she was seeking funding for mujahedin?  Why does she have 4 passports?  Did she give us citizenship to each country to get next passport on the list?  and why in the hell did it take her Father 5 years to complain she was gone? Ran out of money for #ISIS? https://t.co/sGOkP0YCxz
1.0,Deployment of mass #Turkey ground forces in bw TalAfrin an Jarablus borders. Expecting a new large scale fresh assault against #YPG
1.0,Assalam o Alaikum Follow these akhi you will not regret it @Jazrawi_Saraqib
0.0,敵を制圧して民間人を助けるのがクルド人 #SDF #YPG 。略奪を行うのがトルコ傘下の反体制派 #FSA #Turkey 。 #ISIS  #DeirEzzor #Syria #TwitterKurds https://t.co/6fNORXQVCX
0.0,Another white supremacists bigot having #ISIS ideology  preaching peoples to take up guns and kill #Muslims . Is anybody condemning ? https://t.co/Bl0GCraXD6
